time,RSI
2020-04-30,46.3363
2020-04-29,55.8970
2020-04-28,51.6941
2020-04-27,39.1536
2020-04-24,34.1872
2020-04-23,43.4574
2020-04-22,45.5172
2020-04-20,46.0079
2020-04-17,50.6400
2020-04-16,47.8475
2020-04-15,51.4044
2020-04-14,55.6929
2020-04-13,54.4124
2020-04-09,51.4973
2020-04-08,51.5485
2020-04-07,48.8996
2020-04-06,45.2282
2020-04-03,35.6406
2020-04-02,38.0800
2020-04-01,37.6127
2020-03-31,40.3864
2020-03-30,42.6908
2020-03-27,39.9834
2020-03-26,44.1724
2020-03-25,42.4509
2020-03-24,36.6409
2020-03-23,24.6611
2020-03-20,27.4147
2020-03-19,30.3476
2020-03-18,30.0803
2020-03-17,35.6940
2020-03-16,27.9846
2020-03-13,36.0561
2020-03-12,13.3007
2020-03-11,18.8384
2020-03-10,24.9871
2020-03-09,17.9781
2020-03-06,24.6504
2020-03-05,28.5372
2020-03-04,34.3386
2020-03-03,30.1194
2020-03-02,35.1744
2020-02-28,29.8793
2020-02-27,22.0502
2020-02-21,32.9163
2020-02-20,35.0272
2020-02-19,39.2891
2020-02-18,32.0015
2020-02-17,33.4962
2020-02-14,35.6242
2020-02-13,42.3532
2020-02-12,49.6688
2020-02-11,55.8101
2020-02-10,52.3526
2020-02-07,47.9539
2020-02-06,42.9518
2020-02-05,47.1364
2020-02-04,38.2503
2020-02-03,38.2503
2020-01-31,35.3626
2020-01-30,39.8336
2020-01-29,35.5093
2020-01-28,39.1976
2020-01-27,38.7198
2020-01-24,44.9997
2020-01-23,47.2698
2020-01-22,37.5645
2020-01-21,36.1379
2020-01-20,45.1029
2020-01-17,52.0109
2020-01-16,42.7461
2020-01-15,36.0225
2020-01-14,41.4805
2020-01-13,41.8552
2020-01-10,37.1320
2020-01-09,42.5065
2020-01-08,48.0857
2020-01-07,54.3989
2020-01-06,62.8915
2020-01-03,73.7384
2020-01-02,73.7384
2019-12-30,63.5559
2019-12-27,64.3952
2019-12-26,66.6102
2019-12-23,62.9214
2019-12-20,61.0261
2019-12-19,72.5526
2019-12-18,67.7997
2019-12-17,58.2332
2019-12-16,49.4541
2019-12-13,60.5435
2019-12-12,59.7437
2019-12-11,53.2046
2019-12-10,56.8154
2019-12-09,58.9771
2019-12-06,55.2768
2019-12-05,62.0534
2019-12-04,60.4884
2019-12-03,48.6452
2019-12-02,47.0020
2019-11-29,43.4169
2019-11-28,40.7947
2019-11-27,43.7602
2019-11-26,34.7282
2019-11-25,42.8320
2019-11-22,45.0678
2019-11-21,35.2266
2019-11-19,31.4042
2019-11-18,31.9402
2019-11-14,33.8445
2019-11-13,35.0404
2019-11-12,38.0688
2019-11-11,40.9842
2019-11-08,41.7023
2019-11-07,52.2017
2019-11-06,51.2256
2019-11-05,53.2922
2019-11-04,48.6849
2019-11-01,48.4901
2019-10-31,51.1060
2019-10-30,67.4928
2019-10-29,66.3933
2019-10-28,73.0641
2019-10-25,65.0769
2019-10-24,61.4050
2019-10-23,61.9137
2019-10-22,59.6539
2019-10-21,51.2336
2019-10-18,48.8565
2019-10-17,62.7298
2019-10-16,71.8320
2019-10-15,65.6212
2019-10-14,63.1539
2019-10-11,58.5678
2019-10-10,54.5348
2019-10-09,50.1707
2019-10-08,36.9891
2019-10-07,37.2788
2019-10-04,39.2115
2019-10-03,34.4014
2019-10-02,33.1024
2019-10-01,44.7008
2019-09-30,50.2673
2019-09-27,58.5377
2019-09-26,58.8385
2019-09-25,53.5858
2019-09-24,51.0620
2019-09-23,56.6020
2019-09-20,55.9165
2019-09-19,49.9229
2019-09-18,54.5627
2019-09-17,53.6165
2019-09-16,44.4536
2019-09-13,48.7909
2019-09-12,53.4878
2019-09-11,57.6914
2019-09-10,59.3934
2019-09-09,66.7190
2019-09-06,63.8728
2019-09-05,52.2667
