time,RSI
2020-04-30,61.8498
2020-04-29,65.0039
2020-04-28,59.8434
2020-04-27,51.8960
2020-04-24,46.1575
2020-04-23,56.7593
2020-04-22,55.3793
2020-04-20,50.9284
2020-04-17,52.0977
2020-04-16,48.0160
2020-04-15,51.4049
2020-04-14,55.4287
2020-04-13,56.2783
2020-04-09,53.9489
2020-04-08,57.9936
2020-04-07,53.3727
2020-04-06,51.2683
2020-04-03,46.9021
2020-04-02,47.4088
2020-04-01,41.0528
2020-03-31,40.6826
2020-03-30,37.1291
2020-03-27,35.0789
2020-03-26,39.5203
2020-03-25,39.3000
2020-03-24,34.6747
2020-03-23,25.9790
2020-03-20,27.0292
2020-03-19,27.4115
2020-03-18,21.3146
2020-03-17,23.9385
2020-03-16,24.0040
2020-03-13,27.7332
2020-03-12,14.9227
2020-03-11,18.3599
2020-03-10,20.8535
2020-03-09,13.1736
2020-03-06,23.2345
2020-03-05,31.6000
2020-03-04,37.8964
2020-03-03,31.6362
2020-03-02,34.2236
2020-02-28,25.5466
2020-02-27,22.4451
2020-02-21,42.4283
2020-02-20,51.7034
2020-02-19,62.9960
2020-02-18,56.4134
2020-02-17,53.5824
2020-02-14,52.6600
2020-02-13,56.5814
2020-02-12,65.3395
2020-02-11,60.5533
2020-02-10,56.2207
2020-02-07,54.9788
2020-02-06,53.3921
2020-02-05,44.3453
2020-02-04,47.0518
2020-02-03,37.6679
2020-01-31,40.6467
2020-01-30,46.9347
2020-01-29,38.5068
2020-01-28,39.7701
2020-01-27,29.3385
2020-01-24,41.4217
2020-01-23,42.8776
2020-01-22,39.5301
2020-01-21,39.5301
2020-01-20,50.4852
2020-01-17,46.6006
2020-01-16,39.2467
2020-01-15,37.6364
2020-01-14,45.3108
2020-01-13,48.5752
2020-01-10,48.6966
2020-01-09,50.1640
2020-01-08,48.2197
2020-01-07,53.7800
2020-01-06,58.9767
2020-01-03,48.6573
2020-01-02,59.0736
2019-12-30,49.4556
2019-12-27,51.7830
2019-12-26,59.4902
2019-12-23,56.2196
2019-12-20,50.3757
2019-12-19,55.6375
2019-12-18,56.3534
2019-12-17,45.9663
2019-12-16,39.2222
2019-12-13,41.8458
2019-12-12,68.1853
2019-12-11,62.2073
2019-12-10,62.0581
2019-12-09,59.1553
2019-12-06,56.7742
2019-12-05,53.5774
2019-12-04,46.6438
2019-12-03,39.0502
2019-12-02,40.2719
2019-11-29,40.7823
2019-11-28,45.8848
2019-11-27,43.6052
2019-11-26,42.6738
2019-11-25,50.5662
2019-11-22,53.3874
2019-11-21,51.6894
2019-11-19,40.0335
2019-11-18,45.3755
2019-11-14,45.4969
2019-11-13,54.5638
2019-11-12,56.3206
2019-11-11,66.2373
2019-11-08,64.1285
2019-11-07,73.8790
2019-11-06,64.5314
2019-11-05,67.4560
2019-11-04,76.8612
2019-11-01,75.1538
2019-10-31,74.8635
2019-10-30,74.3923
2019-10-29,71.7352
2019-10-28,69.6260
2019-10-25,67.8384
2019-10-24,59.8671
2019-10-23,70.7372
2019-10-22,69.5327
2019-10-21,60.4480
2019-10-18,55.2870
2019-10-17,59.6664
2019-10-16,65.0455
2019-10-15,60.3911
2019-10-14,55.2879
2019-10-11,52.9702
2019-10-10,46.6782
2019-10-09,44.5025
2019-10-08,31.8015
2019-10-07,33.5536
2019-10-04,38.3016
2019-10-03,41.4705
2019-10-02,37.6900
2019-10-01,52.7410
2019-09-30,56.1015
2019-09-27,61.1683
2019-09-26,60.2995
2019-09-25,57.2232
2019-09-24,56.7405
2019-09-23,62.9762
2019-09-20,61.7140
