time,RSI
2020-04-30,52.2162
2020-04-29,60.0665
2020-04-28,56.0457
2020-04-27,49.7895
2020-04-24,45.6775
2020-04-23,56.3217
2020-04-22,54.1080
2020-04-20,55.7670
2020-04-17,60.8002
2020-04-16,54.9445
2020-04-15,52.5524
2020-04-14,54.9852
2020-04-13,52.3655
2020-04-09,47.9906
2020-04-08,50.7615
2020-04-07,44.7761
2020-04-06,39.1193
2020-04-03,35.5747
2020-04-02,39.5516
2020-04-01,35.2384
2020-03-31,37.7117
2020-03-30,35.4169
2020-03-27,36.8656
2020-03-26,40.7575
2020-03-25,37.8401
2020-03-24,30.3064
2020-03-23,22.9062
2020-03-20,24.5312
2020-03-19,25.4364
2020-03-18,24.8492
2020-03-17,28.1121
2020-03-16,27.2590
2020-03-13,31.8668
2020-03-12,18.8975
2020-03-11,23.4327
2020-03-10,28.2499
2020-03-09,18.2593
2020-03-06,27.3922
2020-03-05,34.1844
2020-03-04,40.5466
2020-03-03,29.0599
2020-03-02,26.8675
2020-02-28,21.3234
2020-02-27,21.9541
2020-02-21,32.9842
2020-02-20,36.5166
2020-02-19,45.7450
2020-02-18,46.8097
2020-02-17,48.8564
2020-02-14,46.5179
2020-02-13,54.0853
2020-02-12,55.2754
2020-02-11,53.5267
2020-02-10,40.8106
2020-02-07,43.7851
2020-02-06,54.9333
2020-02-05,57.0459
2020-02-04,57.4186
2020-02-03,48.5450
2020-01-31,42.4078
2020-01-30,49.7824
2020-01-29,41.8715
2020-01-28,42.4737
2020-01-27,39.1943
2020-01-24,60.5772
2020-01-23,70.4287
2020-01-22,69.6117
2020-01-21,67.1624
2020-01-20,76.8692
2020-01-17,71.3114
2020-01-16,68.7007
2020-01-15,66.6793
2020-01-14,73.5165
2020-01-13,83.6484
2020-01-10,77.7289
2020-01-09,75.2168
2020-01-08,78.3412
2020-01-07,77.7359
2020-01-06,75.2452
2020-01-03,76.4478
2020-01-02,84.7365
2019-12-30,80.4785
2019-12-27,79.6726
2019-12-26,79.9200
2019-12-23,77.1770
2019-12-20,74.9574
2019-12-19,66.6779
2019-12-18,60.8538
2019-12-17,65.2886
2019-12-16,67.3821
2019-12-13,76.7315
2019-12-12,71.2521
2019-12-11,67.5796
2019-12-10,69.3808
2019-12-09,63.2017
2019-12-06,74.8550
2019-12-05,71.4737
2019-12-04,71.0059
2019-12-03,68.5702
2019-12-02,80.1062
2019-11-29,76.0218
2019-11-28,81.7268
2019-11-27,90.7393
2019-11-26,90.1112
2019-11-25,88.0062
2019-11-22,87.4304
2019-11-21,86.1220
2019-11-19,74.8184
2019-11-18,74.1595
2019-11-14,82.9494
2019-11-13,81.6440
2019-11-12,81.3222
2019-11-11,81.2235
2019-11-08,80.9516
2019-11-07,83.8660
2019-11-06,78.6866
2019-11-05,79.4518
2019-11-04,78.0083
2019-11-01,68.9891
2019-10-31,58.2757
2019-10-30,56.8791
2019-10-29,48.5016
2019-10-28,51.8600
2019-10-25,52.8481
2019-10-24,45.3517
2019-10-23,55.6339
2019-10-22,54.7401
2019-10-21,53.3299
2019-10-18,51.4228
2019-10-17,58.8424
2019-10-16,57.6980
2019-10-15,62.0456
2019-10-14,57.0528
2019-10-11,58.2012
2019-10-10,51.3739
2019-10-09,37.8075
2019-10-08,38.4369
2019-10-07,43.4253
2019-10-04,49.7404
2019-10-03,42.1718
2019-10-02,35.9186
2019-10-01,48.8642
2019-09-30,51.2385
2019-09-27,46.9282
2019-09-26,49.9873
2019-09-25,49.3935
2019-09-24,44.6631
2019-09-23,51.7357
2019-09-20,52.8955
2019-09-19,57.2251
2019-09-18,58.0808
2019-09-17,62.2711
2019-09-16,60.9177
2019-09-13,62.4294
2019-09-12,63.6133
2019-09-11,58.1899
2019-09-10,64.8264
2019-09-09,58.8556
2019-09-06,44.8924
2019-09-05,50.3165
2019-09-04,48.2044
2019-09-03,48.2044
2019-09-02,49.7264
2019-08-30,53.7349
2019-08-29,47.5773
2019-08-28,32.9263
2019-08-27,28.8874
2019-08-26,31.8461
2019-08-23,35.6836
2019-08-22,40.7321
2019-08-21,39.2825
2019-08-20,33.4201
2019-08-19,32.1925
2019-08-16,37.4065
2019-08-15,27.3160
2019-08-14,32.3637
2019-08-13,41.3112
2019-08-12,30.8674
2019-08-09,37.1707
2019-08-08,39.1705
2019-08-07,23.6425
2019-08-06,25.3034
2019-08-05,25.4375
2019-08-02,32.7826
2019-08-01,30.0762
2019-07-31,34.5473
2019-07-30,42.2316
2019-07-29,34.9551
2019-07-26,29.0266
2019-07-25,27.3232
2019-07-24,29.3861
2019-07-23,33.0094
2019-07-22,31.1914
2019-07-19,37.1857
2019-07-18,40.3587
2019-07-17,43.0004
2019-07-16,47.1686
2019-07-15,50.6021
2019-07-12,45.2188
2019-07-11,50.3972
2019-07-10,60.9647
2019-07-08,62.2344
2019-07-05,62.8232
2019-07-04,61.6812
2019-07-03,54.2779
2019-07-02,48.8552
2019-07-01,58.6157
2019-06-28,63.6005
2019-06-27,59.7997
2019-06-26,62.6011
2019-06-25,56.3427
2019-06-24,67.7462
2019-06-21,70.8007
2019-06-19,66.9232
2019-06-18,63.2019
2019-06-17,51.3297
2019-06-14,55.5938
2019-06-13,66.1998
2019-06-12,62.0758
2019-06-11,66.2901
2019-06-10,56.0328
2019-06-07,47.4699
2019-06-06,36.3056
2019-06-05,38.0525
2019-06-04,42.6722
2019-06-03,45.3127
2019-05-31,42.5113
2019-05-30,44.8758
2019-05-29,47.8713
2019-05-28,50.6076
2019-05-27,39.5510
2019-05-24,40.3125
2019-05-23,42.7833
2019-05-22,52.6600
2019-05-21,52.6600
2019-05-20,34.2055
2019-05-17,32.3437
2019-05-16,32.3437
2019-05-15,36.0633
2019-05-14,36.6963
2019-05-13,31.6580
2019-05-10,38.3250
2019-05-09,40.3493
2019-05-08,46.7728
2019-05-07,37.0615
2019-05-06,31.4318
2019-05-03,34.3988
2019-05-02,24.5735
2019-04-30,26.9419
2019-04-29,31.2839
2019-04-26,30.4432
2019-04-25,34.4232
2019-04-24,34.8133
2019-04-23,37.2852
2019-04-22,41.8064
2019-04-18,41.2233
2019-04-17,42.1742
2019-04-16,44.0011
2019-04-15,36.5840
2019-04-12,40.2638
2019-04-11,43.3338
2019-04-10,49.7873
2019-04-09,51.2002
2019-04-08,56.3392
2019-04-05,55.0395
2019-04-04,64.2985
2019-04-03,61.5939
2019-04-02,63.3208
2019-04-01,63.3208
2019-03-29,49.9716
2019-03-28,44.9876
2019-03-27,40.2483
2019-03-26,50.2408
2019-03-25,42.1320
2019-03-22,43.3344
2019-03-21,58.8937
2019-03-20,58.1423
2019-03-19,64.2175
2019-03-18,58.6365
2019-03-15,49.8986
2019-03-14,40.1918
2019-03-13,45.1392
2019-03-12,34.9909
2019-03-11,39.9221
2019-03-08,32.8906
2019-03-07,33.2594
2019-03-01,39.1917
2019-02-28,41.6428
2019-02-27,48.8992
2019-02-26,50.2581
2019-02-25,44.4195
2019-02-22,41.7838
2019-02-21,39.4881
2019-02-20,57.2738
2019-02-19,49.7005
2019-02-18,50.0073
2019-02-15,47.9843
2019-02-14,55.1590
2019-02-13,52.6080
2019-02-12,49.2285
2019-02-11,47.9436
2019-02-08,45.4590
2019-02-07,42.4947
2019-02-06,44.3005
2019-02-05,57.2094
2019-02-04,59.0466
2019-02-01,55.5603
2019-01-31,52.6992
2019-01-30,65.3140
2019-01-29,55.5454
2019-01-28,55.5454
2019-01-24,65.8552
2019-01-23,59.2409
2019-01-22,55.0964
2019-01-21,55.9498
2019-01-18,55.7441
2019-01-17,45.7073
2019-01-16,42.5068
2019-01-15,41.7340
2019-01-14,47.4776
2019-01-11,47.8729
2019-01-10,55.5778
2019-01-09,66.2041
2019-01-08,58.5495
2019-01-07,58.1618
2019-01-04,57.4454
2019-01-03,49.6930
2019-01-02,51.8170
2018-12-28,43.5679
2018-12-27,32.6433
2018-12-26,38.9149
2018-12-21,36.5424
2018-12-20,31.7726
2018-12-19,42.5725
2018-12-18,44.1482
2018-12-17,40.7657
2018-12-14,41.3289
2018-12-13,45.2688
2018-12-12,46.4063
2018-12-11,47.8492
2018-12-10,44.9614
2018-12-07,50.6873
2018-12-06,53.3868
2018-12-05,56.6450
2018-12-04,53.9766
2018-12-03,59.9156
2018-11-30,50.1971
2018-11-29,43.1631
2018-11-28,42.5869
2018-11-27,35.3077
2018-11-26,36.4312
2018-11-23,37.7278
2018-11-22,43.0087
2018-11-21,42.5366
2018-11-19,53.0920
2018-11-16,54.3048
2018-11-14,36.7498
2018-11-13,38.4742
2018-11-12,40.2976
2018-11-09,49.9574
2018-11-08,49.3142
2018-11-07,56.1325
2018-11-06,65.6655
2018-11-05,65.1215
2018-11-01,59.0485
2018-10-31,56.9739
2018-10-30,50.4830
2018-10-29,48.0286
2018-10-26,50.1249
2018-10-25,43.9612
2018-10-24,37.3218
2018-10-23,46.0348
2018-10-22,47.5837
2018-10-19,35.5113
2018-10-18,40.1637
2018-10-17,49.5408
2018-10-16,49.5408
2018-10-15,38.7102
2018-10-11,41.6763
2018-10-10,37.7951
2018-10-09,44.5331
2018-10-08,35.4741
2018-10-05,38.0010
2018-10-04,44.1021
2018-10-03,48.9306
2018-10-02,55.1401
2018-10-01,52.9574
2018-09-28,63.9423
2018-09-27,63.6764
2018-09-26,62.9384
2018-09-25,69.9759
2018-09-24,58.9634
2018-09-21,70.6195
2018-09-20,68.0344
2018-09-19,67.7793
2018-09-18,66.4539
2018-09-17,48.3882
2018-09-14,37.6343
2018-09-13,38.0196
2018-09-12,38.1956
2018-09-11,35.7878
2018-09-10,42.1997
2018-09-06,47.5027
2018-09-05,40.5274
2018-09-04,41.0534
2018-09-03,45.2851
2018-08-31,48.8747
2018-08-30,46.4625
2018-08-29,53.6808
2018-08-28,52.0943
2018-08-27,50.3954
2018-08-24,46.6491
2018-08-23,45.1232
2018-08-22,51.2837
2018-08-21,47.1055
2018-08-20,50.8880
2018-08-17,41.8342
2018-08-16,39.5041
2018-08-15,39.5041
2018-08-14,49.0544
2018-08-13,42.8355
2018-08-10,44.8573
2018-08-09,55.4587
2018-08-08,63.1016
2018-08-07,56.2136
2018-08-06,59.4806
2018-08-03,64.2231
2018-08-02,58.6610
2018-08-01,55.3275
2018-07-31,60.4455
2018-07-30,69.5439
2018-07-27,66.6706
2018-07-26,59.5577
2018-07-25,68.3904
2018-07-24,71.5749
2018-07-23,66.3715
2018-07-20,65.7843
2018-07-19,62.4826
2018-07-18,68.8931
2018-07-17,67.8030
2018-07-16,63.2752
2018-07-13,60.7325
2018-07-12,64.1868
2018-07-11,54.1896
2018-07-10,61.0009
2018-07-06,66.6563
2018-07-05,62.4824
2018-07-04,54.1625
2018-07-03,49.0813
2018-07-02,41.6544
2018-06-29,41.4467
2018-06-28,41.7140
2018-06-27,34.7012
2018-06-26,32.7325
2018-06-25,36.8298
2018-06-22,41.2502
2018-06-21,36.5015
2018-06-20,45.7454
2018-06-19,31.0854
2018-06-18,31.7472
2018-06-15,30.4139
2018-06-14,32.6117
2018-06-13,34.5665
2018-06-12,35.0391
2018-06-11,29.4863
2018-06-08,30.3622
2018-06-07,34.3407
2018-06-06,45.3441
2018-06-05,48.4800
2018-06-04,44.4460
2018-06-01,38.0539
2018-05-30,25.6619
2018-05-29,27.7841
2018-05-28,23.2987
2018-05-25,31.1292
2018-05-24,39.4451
2018-05-23,39.0201
2018-05-22,44.3413
2018-05-21,48.5775
2018-05-18,59.8162
2018-05-17,64.3588
2018-05-16,71.4389
2018-05-15,65.9800
2018-05-14,65.0855
2018-05-11,65.9777
2018-05-10,68.0773
2018-05-09,62.8658
2018-05-08,46.2719
2018-05-07,46.8204
2018-05-04,56.4563
2018-05-03,49.6569
2018-05-02,44.0395
2018-04-30,52.7227
2018-04-27,53.4163
2018-04-26,61.6947
2018-04-25,57.3172
2018-04-24,57.1409
2018-04-23,56.6574
2018-04-20,61.2146
2018-04-19,65.9918
2018-04-18,69.7789
2018-04-17,63.8477
2018-04-16,57.7698
2018-04-13,58.7804
2018-04-12,59.5303
2018-04-11,53.8320
2018-04-10,55.8056
2018-04-09,51.3954
2018-04-06,56.2984
2018-04-05,60.3462
2018-04-04,45.9314
2018-04-03,52.2364
2018-04-02,50.7967
2018-03-29,48.6289
2018-03-28,39.1497
2018-03-27,41.1371
2018-03-26,43.6287
2018-03-23,40.0329
2018-03-22,43.0673
2018-03-21,51.0667
2018-03-20,47.6812
2018-03-19,35.8671
2018-03-16,40.7682
2018-03-15,41.8717
2018-03-14,48.5773
2018-03-13,52.1119
2018-03-12,53.7244
2018-03-09,50.3291
2018-03-08,49.0838
2018-03-07,58.2903
2018-03-06,53.7138
2018-03-05,65.5559
2018-03-02,63.9338
2018-03-01,68.1837
2018-02-28,63.5623
2018-02-27,64.0361
2018-02-26,69.9837
2018-02-23,67.0082
2018-02-22,62.8898
2018-02-21,65.6370
2018-02-20,64.5363
2018-02-19,72.6329
2018-02-16,67.5845
2018-02-15,59.8319
2018-02-09,48.2034
2018-02-08,44.1532
2018-02-07,47.8986
2018-02-06,55.0423
2018-02-05,42.4763
2018-02-02,56.7529
2018-02-01,57.8063
2018-01-31,54.4590
2018-01-30,60.7702
2018-01-29,59.4484
2018-01-26,65.8367
2018-01-25,58.7265
2018-01-24,55.3519
2018-01-23,48.2298
2018-01-22,53.0082
2018-01-19,56.3586
2018-01-18,64.0502
2018-01-17,75.2370
2018-01-16,69.6335
2018-01-15,80.5730
2018-01-12,85.6169
2018-01-11,84.9380
2018-01-10,76.5558
2018-01-09,84.5194
2018-01-08,83.8841
2018-01-05,79.4182
2018-01-04,87.2928
2018-01-03,79.9111
2018-01-02,79.1318
2017-12-29,78.4418
2017-12-28,68.8540
2017-12-27,68.0448
2017-12-26,69.1223
2017-12-25,75.5862
2017-12-22,74.6990
2017-12-21,77.2249
2017-12-20,73.7037
2017-12-19,70.7430
2017-12-18,68.1181
2017-12-15,71.6799
2017-12-14,67.4701
2017-12-13,65.5866
2017-12-12,76.6870
2017-12-11,74.1688
2017-12-08,71.7672
2017-12-07,62.0017
2017-12-06,57.7160
2017-12-05,57.7160
2017-12-04,64.4445
2017-12-01,57.8036
2017-11-30,59.0442
2017-11-29,59.8146
2017-11-28,56.7690
2017-11-27,59.4734
2017-11-24,52.0155
2017-11-23,54.5058
2017-11-22,50.2155
2017-11-21,45.5982
2017-11-20,49.7510
2017-11-17,45.5683
2017-11-16,36.3495
2017-11-15,30.1039
2017-11-14,29.8804
2017-11-13,36.0755
2017-11-10,30.4002
2017-11-09,33.5871
2017-11-08,37.9177
2017-11-07,33.5599
2017-11-06,41.4077
2017-11-03,35.1040
2017-11-02,35.4858
2017-11-01,31.1024
2017-10-31,35.8202
2017-10-30,41.9572
2017-10-27,50.5275
2017-10-26,55.4719
2017-10-25,66.8848
2017-10-24,66.2805
2017-10-23,57.1282
2017-10-20,58.9752
2017-10-19,60.3808
2017-10-18,59.0636
2017-10-17,50.7060
2017-10-16,53.6028
2017-10-13,54.1598
2017-10-12,50.9490
2017-10-11,43.8725
2017-10-10,46.6869
2017-10-09,33.3708
2017-10-06,34.4020
2017-10-05,40.3928
2017-10-04,47.0797
2017-10-03,47.8167
2017-10-02,35.7466
2017-09-29,36.5065
2017-09-28,30.5246
2017-09-27,35.5483
2017-09-26,33.9169
2017-09-25,29.4146
2017-09-22,34.5613
2017-09-21,38.8835
2017-09-20,44.7613
2017-09-19,46.3373
2017-09-18,55.3591
2017-09-15,53.0750
2017-09-14,47.7853
2017-09-13,49.8545
2017-09-12,53.8159
2017-09-11,57.6996
2017-09-08,55.1508
2017-09-07,71.1314
2017-09-06,74.8326
2017-09-05,71.2878
2017-09-04,81.6363
2017-09-01,78.5430
2017-08-31,66.9595
2017-08-30,66.2956
2017-08-29,56.6206
2017-08-28,59.5303
2017-08-25,58.1476
2017-08-24,61.9577
2017-08-23,64.6255
2017-08-22,58.1363
2017-08-21,48.7724
2017-08-18,53.2694
2017-08-17,55.3908
2017-08-16,56.7468
2017-08-15,47.8407
2017-08-14,55.4669
2017-08-11,58.7660
2017-08-10,65.3765
2017-08-09,63.4157
2017-08-08,67.2227
2017-08-07,71.8832
2017-08-04,64.2649
2017-08-03,57.4283
2017-08-02,56.3140
2017-08-01,46.5564
2017-07-31,49.7847
2017-07-28,47.4908
2017-07-27,46.8666
2017-07-26,46.2921
2017-07-25,64.9342
2017-07-24,60.5748
2017-07-21,52.6235
2017-07-20,59.8681
2017-07-19,68.8760
2017-07-18,62.7737
2017-07-17,73.4857
2017-07-14,71.6526
2017-07-13,71.2047
2017-07-12,76.6554
2017-07-11,75.4725
2017-07-10,79.0788
2017-07-07,75.1018
2017-07-06,74.6004
2017-07-05,72.2537
2017-07-04,67.8635
2017-07-03,69.5869
2017-06-30,67.3481
2017-06-29,65.0314
2017-06-28,69.0747
2017-06-27,63.5052
2017-06-26,65.6329
2017-06-23,58.8002
2017-06-22,49.4882
2017-06-21,43.7690
2017-06-20,37.8039
2017-06-19,42.3530
2017-06-16,34.9123
2017-06-15,37.4296
2017-06-14,39.7761
2017-06-13,46.3081
2017-06-12,47.4298
2017-06-09,51.6520
2017-06-08,48.9239
2017-06-07,42.1691
2017-06-06,45.2106
2017-06-05,44.3774
2017-06-02,46.9477
2017-06-01,46.0096
2017-05-31,46.3786
2017-05-30,54.2049
2017-05-29,51.2430
2017-05-26,46.7905
2017-05-25,46.5997
2017-05-24,48.4773
2017-05-23,51.2658
2017-05-22,44.2050
2017-05-19,46.4054
2017-05-18,36.4393
2017-05-17,57.6197
2017-05-16,60.7186
2017-05-15,53.8276
2017-05-12,45.4475
2017-05-11,54.0276
2017-05-10,50.1560
2017-05-09,43.7623
2017-05-08,31.1833
2017-05-05,33.4897
2017-05-04,34.0122
2017-05-03,37.7195
2017-05-02,48.9165
2017-04-28,40.8545
2017-04-27,36.5270
2017-04-26,39.3330
2017-04-25,39.9707
2017-04-24,34.2108
2017-04-20,30.5454
2017-04-19,21.6125
2017-04-18,22.3364
2017-04-17,25.0315
2017-04-13,19.0542
2017-04-12,19.6343
2017-04-11,24.5321
2017-04-10,28.5544
2017-04-07,31.4555
2017-04-06,28.8532
2017-04-05,31.2561
2017-04-04,34.8879
2017-04-03,30.2175
2017-03-31,32.1641
2017-03-30,26.7874
2017-03-29,30.9738
2017-03-28,29.3169
2017-03-27,29.4228
2017-03-24,30.8264
2017-03-23,33.9500
2017-03-22,37.2321
2017-03-21,37.2321
2017-03-20,49.1854
