time,RSI
2020-04-30,50.8227
2020-04-29,59.1620
2020-04-28,58.1213
2020-04-27,53.3529
2020-04-24,50.1083
2020-04-23,56.4636
2020-04-22,62.3844
2020-04-20,57.1053
2020-04-17,52.4362
2020-04-16,45.8994
2020-04-15,46.2083
2020-04-14,47.0927
2020-04-13,47.0338
2020-04-09,48.3407
2020-04-08,51.1098
2020-04-07,49.4388
2020-04-06,44.2986
2020-04-03,34.1497
2020-04-02,35.9870
2020-04-01,36.1502
2020-03-31,37.9969
2020-03-30,41.0667
2020-03-27,41.5059
2020-03-26,45.2889
2020-03-25,41.9429
2020-03-24,34.6968
2020-03-23,28.3837
2020-03-20,32.5624
2020-03-19,35.0815
2020-03-18,24.5278
2020-03-17,30.6348
2020-03-16,26.5049
2020-03-13,39.1398
2020-03-12,27.9740
2020-03-11,34.0921
2020-03-10,40.6008
2020-03-09,22.7487
2020-03-06,32.6953
2020-03-05,35.6925
2020-03-04,45.9028
2020-03-03,38.9273
2020-03-02,36.9480
2020-02-28,37.9544
2020-02-27,23.9772
2020-02-21,43.2833
2020-02-20,39.0925
2020-02-19,45.3858
2020-02-18,47.7880
2020-02-17,50.2522
2020-02-14,44.7586
2020-02-13,50.5155
2020-02-12,45.6908
2020-02-11,44.5104
2020-02-10,31.7426
2020-02-07,34.5992
2020-02-06,31.4118
2020-02-05,41.7788
2020-02-04,44.4458
2020-02-03,45.6254
2020-01-31,43.1352
2020-01-30,55.2007
2020-01-29,62.3794
2020-01-28,60.4709
2020-01-27,55.6203
2020-01-24,67.8576
2020-01-23,76.0267
2020-01-22,71.5323
2020-01-21,66.5528
2020-01-20,73.6370
2020-01-17,72.2853
2020-01-16,63.1036
2020-01-15,59.4174
2020-01-14,64.1850
2020-01-13,74.6882
2020-01-10,66.3949
2020-01-09,64.8921
2020-01-08,71.9730
2020-01-07,69.4501
2020-01-06,69.9093
2020-01-03,70.6096
2020-01-02,76.0985
2019-12-30,68.9944
2019-12-27,68.4139
2019-12-26,79.9377
2019-12-23,76.3528
2019-12-20,74.2559
2019-12-19,73.8817
2019-12-18,70.9507
2019-12-17,64.5932
2019-12-16,68.9807
2019-12-13,67.7070
2019-12-12,66.4679
2019-12-11,62.5202
2019-12-10,57.0777
2019-12-09,59.0876
2019-12-06,74.8103
2019-12-05,67.5275
2019-12-04,66.9443
2019-12-03,65.1117
2019-12-02,63.4273
2019-11-29,58.9701
2019-11-28,58.7438
2019-11-27,54.1131
2019-11-26,52.9442
2019-11-25,55.3997
2019-11-22,55.4796
2019-11-21,53.9873
2019-11-19,51.1584
2019-11-18,54.2211
2019-11-14,58.2570
2019-11-13,43.8740
2019-11-12,45.1521
2019-11-11,51.5405
2019-11-08,39.4577
2019-11-07,47.8184
2019-11-06,49.2989
2019-11-05,42.3056
2019-11-04,54.1209
2019-11-01,60.2586
2019-10-31,53.1653
2019-10-30,48.9782
2019-10-29,48.3593
2019-10-28,47.0378
2019-10-25,50.2957
2019-10-24,40.0879
2019-10-23,55.1791
2019-10-22,65.1195
2019-10-21,67.5227
2019-10-18,61.9806
2019-10-17,68.2133
2019-10-16,69.0107
2019-10-15,65.8360
2019-10-14,62.0754
2019-10-11,58.9351
2019-10-10,42.3300
2019-10-09,45.6528
2019-10-08,39.2108
2019-10-07,38.9554
