time,RSI
2020-04-30,40.7671
2020-04-29,46.2725
2020-04-28,46.8419
2020-04-27,45.0153
2020-04-24,33.6087
2020-04-23,40.2163
2020-04-22,41.3811
2020-04-20,41.1620
2020-04-17,40.9634
2020-04-16,38.1446
2020-04-15,43.9342
2020-04-14,46.4152
2020-04-13,46.5467
2020-04-09,46.5467
2020-04-08,48.9020
2020-04-07,49.9861
2020-04-06,43.8217
2020-04-03,37.9388
2020-04-02,43.1277
2020-04-01,39.3978
2020-03-31,41.2652
2020-03-30,46.7247
2020-03-27,46.1136
2020-03-26,48.7118
2020-03-25,36.8285
2020-03-24,32.4168
2020-03-23,33.7116
2020-03-20,36.9743
2020-03-19,33.2032
2020-03-18,27.5155
2020-03-17,29.7508
2020-03-16,22.2470
2020-03-13,29.3981
2020-03-12,12.4027
2020-03-11,21.3750
2020-03-10,26.7530
2020-03-09,29.2221
2020-03-06,37.2712
2020-03-05,35.0415
2020-03-04,36.0671
2020-03-03,21.2956
2020-03-02,20.7171
2020-02-28,15.6983
2020-02-27,14.6173
2020-02-21,29.5239
2020-02-20,26.4375
2020-02-19,24.9585
2020-02-18,25.5361
2020-02-17,30.9506
2020-02-14,24.4265
2020-02-13,19.3747
2020-02-12,23.1560
2020-02-11,24.8811
2020-02-10,22.4547
2020-02-07,24.3783
2020-02-06,22.8123
2020-02-05,26.5770
2020-02-04,31.5021
2020-02-03,29.7445
2020-01-31,33.0521
2020-01-30,40.7354
2020-01-29,39.7056
2020-01-28,49.3527
2020-01-27,43.1354
2020-01-24,53.5476
2020-01-23,44.1764
2020-01-22,56.1757
2020-01-21,45.9323
2020-01-20,47.8818
2020-01-17,44.3381
2020-01-16,44.3381
2020-01-15,49.8265
2020-01-14,56.0736
2020-01-13,59.7838
2020-01-10,51.3569
2020-01-09,49.2639
2020-01-08,53.7219
2020-01-07,56.4819
2020-01-06,55.5689
2020-01-03,53.5973
2020-01-02,60.8928
2019-12-30,48.5112
2019-12-27,65.8617
2019-12-26,68.5642
2019-12-23,62.5752
2019-12-20,61.2991
2019-12-19,72.9386
2019-12-18,71.4367
2019-12-17,67.8200
2019-12-16,75.9996
2019-12-13,74.8767
2019-12-12,69.1178
2019-12-11,62.9545
2019-12-10,60.6953
2019-12-09,63.7572
2019-12-06,64.1734
2019-12-05,56.5070
2019-12-04,62.5281
2019-12-03,48.3211
2019-12-02,52.4860
2019-11-29,55.9588
2019-11-28,54.6073
2019-11-27,52.9840
2019-11-26,55.4840
2019-11-25,61.8639
2019-11-22,61.6303
2019-11-21,58.9124
2019-11-19,47.8255
2019-11-18,44.0916
2019-11-14,40.2428
2019-11-13,37.4231
2019-11-12,37.4231
2019-11-11,40.7313
2019-11-08,33.2319
2019-11-07,37.9086
2019-11-06,36.6747
2019-11-05,40.0797
2019-11-04,36.1484
2019-11-01,28.9570
2019-10-31,29.5816
2019-10-30,31.8047
2019-10-29,32.0455
2019-10-28,31.1066
2019-10-25,31.6978
2019-10-24,57.9858
2019-10-23,44.7610
2019-10-22,47.1165
2019-10-21,53.2855
2019-10-18,43.6224
2019-10-17,46.3171
2019-10-16,49.6278
2019-10-15,49.6278
2019-10-14,45.1269
2019-10-11,41.2350
2019-10-10,36.6107
2019-10-09,41.1662
2019-10-08,39.2616
2019-10-07,44.2322
2019-10-04,51.6419
2019-10-03,32.8956
2019-10-02,38.9326
2019-10-01,53.0017
2019-09-30,50.8713
2019-09-27,58.8782
2019-09-26,62.4148
2019-09-25,65.5137
2019-09-24,58.9649
2019-09-23,61.4869
2019-09-20,60.9863
2019-09-19,60.0516
2019-09-18,58.0147
2019-09-17,63.5207
2019-09-16,57.5484
2019-09-13,56.4013
2019-09-12,64.9283
2019-09-11,54.3446
2019-09-10,51.7824
2019-09-09,53.2774
2019-09-06,49.3275
2019-09-05,48.5445
2019-09-04,51.1529
2019-09-03,44.2960
2019-09-02,40.5399
2019-08-30,47.5474
2019-08-29,43.1233
2019-08-28,30.7553
2019-08-27,31.0592
2019-08-26,28.5162
2019-08-23,31.6705
2019-08-22,33.6230
2019-08-21,38.6823
2019-08-20,41.0402
2019-08-19,43.9693
2019-08-16,39.1403
2019-08-15,36.3177
2019-08-14,39.4759
2019-08-13,45.1620
2019-08-12,46.8017
2019-08-09,57.9804
2019-08-08,60.1728
2019-08-07,71.3407
2019-08-06,69.6897
2019-08-05,65.9203
2019-08-02,74.5217
2019-08-01,73.8708
2019-07-31,71.1199
2019-07-30,76.3592
2019-07-29,80.4218
2019-07-26,75.2335
2019-07-25,72.3087
2019-07-24,41.7552
2019-07-23,43.7426
2019-07-22,42.3310
2019-07-19,44.8638
2019-07-18,49.0938
2019-07-17,40.9515
2019-07-16,43.6073
2019-07-15,47.3783
2019-07-12,45.9768
2019-07-11,60.0929
2019-07-10,73.8330
2019-07-08,72.4591
2019-07-05,75.1215
2019-07-04,75.1215
2019-07-03,72.9768
2019-07-02,58.7874
2019-07-01,47.6340
2019-06-28,50.7226
2019-06-27,57.4248
2019-06-26,59.6413
2019-06-25,62.6900
2019-06-24,68.5467
2019-06-21,75.9113
2019-06-19,71.2834
2019-06-18,67.9593
2019-06-17,61.2271
2019-06-14,55.8885
2019-06-13,66.7442
2019-06-12,61.2622
2019-06-11,63.4780
2019-06-10,61.2717
2019-06-07,60.0299
2019-06-06,61.3579
2019-06-05,54.3968
2019-06-04,52.3829
2019-06-03,54.9300
2019-05-31,59.7892
2019-05-30,56.5997
2019-05-29,51.7165
2019-05-28,53.3041
2019-05-27,50.8604
2019-05-24,46.3699
2019-05-23,50.2439
2019-05-22,50.2439
2019-05-21,47.3961
2019-05-20,29.1469
2019-05-17,29.1469
2019-05-16,31.3491
2019-05-15,30.4026
2019-05-14,35.2087
2019-05-13,36.3043
2019-05-10,41.0694
2019-05-09,44.5146
2019-05-08,53.6881
2019-05-07,47.5838
2019-05-06,58.0387
2019-05-03,55.0002
2019-05-02,55.7792
2019-04-30,71.5982
2019-04-29,69.8206
2019-04-26,68.9460
2019-04-25,69.5506
2019-04-24,60.3080
2019-04-23,59.3674
2019-04-22,56.1902
2019-04-18,46.9702
2019-04-17,46.2429
2019-04-16,57.6231
2019-04-15,55.3571
2019-04-12,47.0116
2019-04-11,51.5929
2019-04-10,59.8858
2019-04-09,64.5553
2019-04-08,57.6151
2019-04-05,60.3498
2019-04-04,57.9550
2019-04-03,46.2729
2019-04-02,44.2394
2019-04-01,45.3426
2019-03-29,45.5471
2019-03-28,43.7199
2019-03-27,38.8744
2019-03-26,46.6145
2019-03-25,34.3225
2019-03-22,37.6417
2019-03-21,42.4442
2019-03-20,42.8225
2019-03-19,46.3544
2019-03-18,48.6345
2019-03-15,35.5594
2019-03-14,32.7586
2019-03-13,36.1527
2019-03-12,37.6141
2019-03-11,39.1822
2019-03-08,26.0695
2019-03-07,27.0800
2019-03-01,27.7579
2019-02-28,32.7050
2019-02-27,53.2346
2019-02-26,56.9350
2019-02-25,54.7578
2019-02-22,53.2694
2019-02-21,53.2694
2019-02-20,50.0359
2019-02-19,53.3588
2019-02-18,51.1249
2019-02-15,56.7723
2019-02-14,58.7182
2019-02-13,56.0038
2019-02-12,61.0626
2019-02-11,61.7801
2019-02-08,56.0920
2019-02-07,65.5953
2019-02-06,57.5313
2019-02-05,69.8017
2019-02-04,67.6570
2019-02-01,63.4798
2019-01-31,54.0552
2019-01-30,65.7657
2019-01-29,64.2505
2019-01-28,66.3655
2019-01-24,52.4561
2019-01-23,52.9551
2019-01-22,62.6018
2019-01-21,79.1920
2019-01-18,79.1920
2019-01-17,77.6258
2019-01-16,77.1090
2019-01-15,76.1158
2019-01-14,74.5242
2019-01-11,71.8899
2019-01-10,66.3839
2019-01-09,58.5853
2019-01-08,53.8722
2019-01-07,63.1526
2019-01-04,65.3002
2019-01-03,61.6073
2019-01-02,58.3427
2018-12-28,38.0682
2018-12-27,26.3345
2018-12-26,26.9920
2018-12-21,27.4547
2018-12-20,28.0313
2018-12-19,30.7963
2018-12-18,37.8752
2018-12-17,44.8311
2018-12-14,43.5878
2018-12-13,50.2064
2018-12-12,38.1846
2018-12-11,38.1846
2018-12-10,36.1601
2018-12-07,40.5418
2018-12-06,47.0760
2018-12-05,51.0425
2018-12-04,54.0480
2018-12-03,56.4976
2018-11-30,61.5164
2018-11-29,56.0507
2018-11-28,57.3600
2018-11-27,54.4897
2018-11-26,45.9808
2018-11-23,46.9947
2018-11-22,53.3462
2018-11-21,50.9601
2018-11-19,52.5734
2018-11-16,53.3332
2018-11-14,44.9145
2018-11-13,39.2481
2018-11-12,41.9832
2018-11-09,43.8657
2018-11-08,36.5820
2018-11-07,45.8419
2018-11-06,51.1188
2018-11-05,47.7595
2018-11-01,46.0925
2018-10-31,45.5714
2018-10-30,40.5739
2018-10-29,27.8223
2018-10-26,21.9906
2018-10-25,17.2255
2018-10-24,23.1999
2018-10-23,31.3316
2018-10-22,34.0931
2018-10-19,34.6721
2018-10-18,28.9725
2018-10-17,34.0678
2018-10-16,39.7269
2018-10-15,24.7211
2018-10-11,25.4334
2018-10-10,27.9724
2018-10-09,31.7795
2018-10-08,41.1377
2018-10-05,28.3581
2018-10-04,32.3288
2018-10-03,37.9860
2018-10-02,40.9636
2018-10-01,45.8115
2018-09-28,42.7634
2018-09-27,46.4189
2018-09-26,52.8027
2018-09-25,43.2192
2018-09-24,42.8711
2018-09-21,57.4478
2018-09-20,54.4154
2018-09-19,55.8482
2018-09-18,55.8482
2018-09-17,42.7139
2018-09-14,37.6686
2018-09-13,40.1144
2018-09-12,43.1397
2018-09-11,33.3362
2018-09-10,35.4520
2018-09-06,36.0701
2018-09-05,29.4254
2018-09-04,24.3120
2018-09-03,35.2857
2018-08-31,41.2288
2018-08-30,45.9810
2018-08-29,55.5929
2018-08-28,49.9423
2018-08-27,51.1130
2018-08-24,48.9594
2018-08-23,44.1629
2018-08-22,42.6709
2018-08-21,44.8268
2018-08-20,49.6217
2018-08-17,50.4793
2018-08-16,45.6927
2018-08-15,57.8246
2018-08-14,57.5773
2018-08-13,50.5300
2018-08-10,43.3099
2018-08-09,54.5188
2018-08-08,51.0338
2018-08-07,51.3558
2018-08-06,55.4486
2018-08-03,55.4486
2018-08-02,55.2263
2018-08-01,59.5023
2018-07-31,58.7843
2018-07-30,66.4747
2018-07-27,69.5822
2018-07-26,71.7785
2018-07-25,56.4786
2018-07-24,58.4967
2018-07-23,51.3435
2018-07-20,55.0816
2018-07-19,57.5037
2018-07-18,55.1363
2018-07-17,66.5340
2018-07-16,62.8226
2018-07-13,51.6309
2018-07-12,45.8809
2018-07-11,34.2789
2018-07-10,40.9892
2018-07-06,37.0268
2018-07-05,45.5623
2018-07-04,31.8868
2018-07-03,31.3695
2018-07-02,32.4794
2018-06-29,24.8187
2018-06-28,25.3032
2018-06-27,22.5832
2018-06-26,24.4531
2018-06-25,26.2710
2018-06-22,23.9216
2018-06-21,22.8148
2018-06-20,27.7871
2018-06-19,31.7343
2018-06-18,21.7273
2018-06-15,23.9113
2018-06-14,26.7328
2018-06-13,17.5610
2018-06-12,19.2356
2018-06-11,20.3667
2018-06-08,19.2005
2018-06-07,20.2691
2018-06-06,24.9564
2018-06-05,27.9273
2018-06-04,32.1162
2018-06-01,28.6776
2018-05-30,19.5033
2018-05-29,15.5947
2018-05-28,16.8462
2018-05-25,20.2953
2018-05-24,22.0198
2018-05-23,10.7826
2018-05-22,11.3063
2018-05-21,12.0997
2018-05-18,14.0519
2018-05-17,17.6182
2018-05-16,22.2607
2018-05-15,20.0021
2018-05-14,23.0104
2018-05-11,24.8977
2018-05-10,22.8641
2018-05-09,24.1593
2018-05-08,32.0269
2018-05-07,28.0480
2018-05-04,30.6299
2018-05-03,32.3025
2018-05-02,33.4533
2018-04-30,47.9500
2018-04-27,42.8877
2018-04-26,46.4083
2018-04-25,41.7758
2018-04-24,45.3000
2018-04-23,49.0219
2018-04-20,48.4776
2018-04-19,50.1647
2018-04-18,46.5793
2018-04-17,40.4053
2018-04-16,36.8470
2018-04-13,41.6699
2018-04-12,42.2025
2018-04-11,53.7439
2018-04-10,52.7046
2018-04-09,40.4136
2018-04-06,39.3001
2018-04-05,58.4786
2018-04-04,64.2687
2018-04-03,64.6286
2018-04-02,57.0517
2018-03-29,64.9187
2018-03-28,59.1590
2018-03-27,59.8667
2018-03-26,65.5089
2018-03-23,63.9813
2018-03-22,66.9852
2018-03-21,65.0141
2018-03-20,61.5729
2018-03-19,64.4245
2018-03-16,61.5389
2018-03-15,69.1060
2018-03-14,82.2547
2018-03-13,79.4587
2018-03-12,80.1924
2018-03-09,74.4626
2018-03-08,72.6142
2018-03-07,69.3320
2018-03-06,64.3109
2018-03-05,59.3150
2018-03-02,61.1644
2018-03-01,56.2541
2018-02-28,47.8466
2018-02-27,53.8765
2018-02-26,52.1496
2018-02-23,47.6101
2018-02-22,60.5308
2018-02-21,60.0976
2018-02-20,70.9615
2018-02-19,63.9639
2018-02-16,67.5262
2018-02-15,64.9916
2018-02-09,37.7427
2018-02-08,44.2482
2018-02-07,42.1362
2018-02-06,42.1362
2018-02-05,44.1692
2018-02-02,58.0282
2018-02-01,71.4863
2018-01-31,61.1711
2018-01-30,57.1885
2018-01-29,55.6534
2018-01-26,58.1557
2018-01-25,59.9760
2018-01-24,59.2100
2018-01-23,56.5930
2018-01-22,60.5915
2018-01-19,65.8236
2018-01-18,63.5579
